temps_ecoule_s,spectre,longueur_onde_nm,puissance_W
288.472,NIR,975.0,10.045020029253674
289.01,NIR,975.0,10.045020029253674
289.574,NIR,975.0,10.045020029253674
290.076,NIR,975.0,9.999978869524755
290.61,NIR,975.0,10.037476035912803
291.144,NIR,976.0,9.984609590023235
291.682,NIR,976.0,9.977057350420145
292.214,NIR,976.0,9.977057350420145
292.753,NIR,976.0,9.977057350420145
293.288,NIR,976.0,9.984609590023235
293.825,NIR,976.0,9.984609590023235
294.357,NIR,976.0,9.984609590023235
294.884,NIR,976.0,9.977057350420145
295.431,NIR,975.0,9.951875525993925
295.97,NIR,976.0,9.977057350420145
296.49,NIR,975.0,9.951875525993925
297.024,NIR,974.0,9.949596229982385
297.558,NIR,975.0,9.984890882843015
298.106,NIR,974.0,9.957127126134662
298.629,NIR,975.0,9.984890882843015
299.162,NIR,974.0,9.942065333830104
299.691,NIR,974.0,9.942065333830104
300.211,NIR,974.0,9.942065333830104
300.777,NIR,974.0,9.942065333830104
301.316,NIR,974.0,9.942065333830104
301.85,NIR,974.0,9.949596229982385
302.391,NIR,975.0,9.984890882843015
302.911,NIR,975.0,9.977346889502144
303.421,NIR,975.0,9.996916685722844
303.978,NIR,975.0,9.996916685722844
304.525,NIR,975.0,9.996916685722844
305.049,NIR,976.0,10.030214504884437
305.594,NIR,976.0,9.977057350420145
306.127,NIR,976.0,10.037766744487527
306.666,NIR,975.0,10.023841090467027
307.197,NIR,975.0,9.97879993073811
307.73,NIR,975.0,9.993084879199643
308.266,NIR,975.0,10.000628872540512
308.801,NIR,975.0,9.993084879199643
309.332,NIR,975.0,9.993084879199643
309.839,NIR,975.0,9.993084879199643
310.407,NIR,975.0,9.993084879199643
310.932,NIR,976.0,9.985264075572292
311.466,NIR,975.0,9.951875525993925
312.0,NIR,976.0,9.977057350420145
312.536,NIR,976.0,9.977057350420145
313.128,NIR,975.0,9.951875525993925
313.605,NIR,977.0,9.973219325802281
314.142,NIR,977.0,9.980785881582111
314.674,NIR,977.0,9.980785881582111
315.192,NIR,977.0,9.980785881582111
315.747,NIR,976.0,9.977057350420145
316.283,NIR,976.0,9.985264075572292
316.792,NIR,976.0,9.985264075572292
317.354,NIR,976.0,9.985264075572292
317.917,NIR,976.0,9.977057350420145
318.424,NIR,976.0,9.977057350420145
318.959,NIR,976.0,9.977057350420145
319.494,NIR,975.0,9.951875525993925
320.031,NIR,975.0,9.951875525993925
320.566,NIR,975.0,9.944331532653056
321.091,NIR,975.0,9.977346889502144
321.639,NIR,975.0,9.9436815296373
322.164,NIR,975.0,9.9436815296373
322.695,NIR,975.0,9.9436815296373
323.233,NIR,974.0,9.942065333830104
323.771,NIR,974.0,9.942065333830104
324.3,NIR,975.0,9.722251277384803
324.817,NIR,975.0,9.473246617372368
325.375,NIR,974.0,9.200692672253998
325.917,NIR,974.0,8.9456251502574
326.439,NIR,974.0,8.69799480494199
326.975,NIR,974.0,8.443592750659365
327.509,NIR,975.0,8.225688450692974
328.046,NIR,973.0,7.95378037749048
328.583,NIR,973.0,7.707530990578628
329.12,NIR,973.0,7.453758386605038
329.657,NIR,973.0,7.461281603666777
330.195,NIR,974.0,7.439621670934377
330.718,NIR,975.0,7.482230556143354
331.255,NIR,973.0,7.44557451459697
331.795,NIR,973.0,7.461281603666777
332.329,NIR,975.0,7.489774549484224
332.856,NIR,975.0,7.489774549484224
333.391,NIR,975.0,7.489774549484224
333.926,NIR,975.0,7.489774549484224
334.463,NIR,975.0,7.534815709213143
334.994,NIR,977.0,7.552486086071157
335.529,NIR,975.0,7.534815709213143
336.064,NIR,973.0,7.481773204842867
336.647,NIR,975.0,7.534815709213143
337.137,NIR,973.0,7.520831632488512
337.662,NIR,973.0,7.520831632488512
338.204,NIR,973.0,7.520831632488512
338.743,NIR,973.0,7.520831632488512
339.277,NIR,973.0,7.520831632488512
339.776,NIR,973.0,7.4756215720467605
340.345,NIR,973.0,7.545550091754173
340.877,NIR,973.0,7.545550091754173
341.413,NIR,973.0,7.550878689938303
341.952,NIR,973.0,7.550878689938303
342.484,NIR,973.0,7.491328661116567
343.017,NIR,973.0,7.4838054440548305
343.559,NIR,973.0,7.505668629496552
344.091,NIR,973.0,7.498145412434814
344.627,NIR,973.0,7.508523903320492
345.174,NIR,973.0,7.5433554728765655
345.697,NIR,973.0,7.529015504496582
346.231,NIR,975.0,7.534815709213143
346.761,NIR,975.0,7.534815709213143
347.3,NIR,975.0,7.534815709213143
347.84,NIR,975.0,7.534815709213143
348.371,NIR,975.0,7.54300970556977
348.905,NIR,975.0,7.534815709213143
349.445,NIR,975.0,7.534815709213143
349.979,NIR,975.0,7.54300970556977
350.513,NIR,975.0,7.54300970556977
351.051,NIR,975.0,7.54300970556977
351.583,NIR,975.0,7.54300970556977
352.119,NIR,973.0,7.529015504496582
352.654,NIR,973.0,7.529015504496582
353.177,NIR,973.0,7.536538721558318
353.717,NIR,973.0,7.4838054440548305
354.248,NIR,973.0,7.491328661116567
354.777,NIR,973.0,7.491328661116567
355.328,NIR,973.0,7.536538721558318
355.868,NIR,973.0,7.491328661116567
356.393,NIR,973.0,7.550878689938303
356.928,NIR,973.0,7.4974847574884835
357.461,NIR,973.0,7.535171600868496
358.0,NIR,973.0,7.527648383806758
358.535,NIR,973.0,7.520831632488512
359.075,NIR,973.0,7.535171600868496
359.592,NIR,975.0,7.5497506606904325
360.14,NIR,975.0,7.54300970556977
360.703,NIR,975.0,7.5354657122289
361.209,NIR,975.0,7.5354657122289
361.735,NIR,975.0,7.5354657122289
362.269,NIR,975.0,7.557294654031303
362.819,NIR,975.0,7.54300970556977
