37,17334119;42,48536366;41,47033137;36,94542982;39,29591007;43,76393166;38,06320473;40,04359116;41,99317246;37,84987647;40,02665398;40,1994507;40,08624046;39,80674684;37,87143418;42,56953052;37,93316809;36,97984984;41,99344418;37,8825409;39,1014514;26,66414789;0,004;1,053;0,202;0,454;0,072;0,11;21,38897333;26,66414789;2025-04-18T13:28:27
37,29205015;42,60518576;41,58989657;37,026567;39,41259727;43,88570573;38,17917254;40,16611847;42,19449664;37,92715516;40,14204668;40,3186612;40,24911984;39,92527031;37,97763916;42,72621232;38,00774727;37,05299416;42,11245121;37,99720836;39,21849238;26,66414789;0,004;1,054;0,201;0,454;0,073;0,11;21,54129236;26,66414789;2025-04-18T13:28:27
37,37117103;42,72502553;41,70948429;37,1076881;39,52924255;44,00752151;38,2951385;40,2886176;42,31535423;38,04305777;40,25748523;40,43789468;40,41189952;40,04382278;38,08385441;42,88309111;38,1196086;37,16271096;42,1917995;38,11189229;39,29650718;26,70506454;0,004;1,05;0,2;0,457;0,073;0,11;21,64248366;26,70506454;2025-04-18T13:28:27
37,45027749;42,88484108;41,82909553;37,22934027;39,60698325;44,17000915;38,41110357;40,3702685;42,47657336;38,15894274;40,37297062;40,51739693;40,53392023;40,20193954;38,15467071;43,00088097;38,23146179;37,2358561;42,31083803;38,22659365;39,41351128;26,70506454;0,004;1,056;0,201;0,46;0,073;0,11;21,84572856;26,70506454;2025-04-18T13:28:28
37,52936985;43,00472586;41,90884989;37,3104225;39,72356076;44,29192613;38,48841359;40,49272281;42,59754578;38,27481102;40,48850379;40,63667091;40,65588713;40,28101863;38,22549222;43,11878413;38,30602652;37,30900203;42,42989676;38,30307136;39,45250797;26,70506454;0,004;1,061;0,202;0,458;0,074;0,11;21,99822634;26,70506454;2025-04-18T13:28:28
37,60844839;43,08466061;42,02850247;37,39148971;39,84009886;44,45455236;38,60437931;40,57434475;42,75892167;38,35204773;40,60408572;40,75597049;40,77780119;40,39966397;38,33173481;43,23680163;38,38058832;37,41872302;42,50928094;38,37955753;39,53049453;26,70506454;0,004;1,045;0,202;0,458;0,075;0,111;22,20164459;26,70506454;2025-04-18T13:28:28
37,68751341;43,20458077;42,14818116;37,4725422;39,95659848;44,61726105;38,68169065;40,6559556;42,83964429;38,42927773;40,75827247;40,87529666;40,94027274;40,55790915;38,43799057;43,39433806;38,4924261;37,49187212;42,62837545;38,49430322;39,64745786;26,70506454;0,004;1,041;0,203;0,454;0,075;0,111;22,40516599;26,70506454;2025-04-18T13:28:29
37,76656521;43,32452345;42,26788693;37,55358027;40,07306056;44,73934813;38,79765966;40,77835174;42,96077242;38,54511076;40,87397192;40,9946504;41,06206726;40,67663284;38,50883549;43,47318402;38,52970419;37,56502295;42,74749271;38,57081172;39,72542282;26,74596937;0,005;1,041;0,203;0,457;0,075;0,111;22,50671143;26,74596937;2025-04-18T13:28:29
37,84560407;43,44448961;42,38762077;37,675111;40,15068155;44,86148395;38,87497409;40,90072457;43,08195447;38,62232522;40,9511337;41,07423536;41,18381214;40,79539175;38,61511514;43,59155106;38,60425881;37,6381758;42,82691734;38,68559224;39,84235507;26,74596937;0,005;1,04;0,203;0,457;0,075;0,111;22,65948294;26,74596937;2025-04-18T13:28:29
37,92463029;43,56448022;42,4674594;37,75611434;40,26708314;44,98366952;38,99094906;41,02307506;43,20319146;38,69953394;41,06692033;41,19363722;41,30550836;40,91418685;38,72141027;43,74955858;38,67881158;37,71133091;42,94607467;38,76212484;39,92030018;26,74596937;0,004;1,051;0,203;0,45;0,077;0,111;22,81231668;26,74596937;2025-04-18T13:28:30
38,00364416;43,68449625;42,58724218;37,83710432;40,34466466;45,10590586;39,10692888;41,14540418;43,32448442;38,81533691;41,18276055;41,31306927;41,42715686;41,03301914;38,82772177;43,82864227;38,75336276;37,82106843;43,02552691;38,83866757;39,99823784;26,74596937;0,004;1,057;0,202;0,449;0,076;0,111;22,96521391;26,74596937;2025-04-18T13:28:30
38,08264597;43,80453866;42,66711435;37,91808122;40,42223088;45,22819397;39,18425192;41,22694554;43,40537798;38,89253255;41,29865534;41,43253249;41,50822982;41,19152172;38,93405049;43,90777968;38,82791264;37,8942304;43,14472698;38,91522071;40,03720397;26,78686242;0,004;1,067;0,202;0,449;0,077;0,111;23,06702554;26,78686242;2025-04-18T13:28:30
38,16163603;43,92460843;42,78694879;37,99904535;40,49978207;45,35053487;39,26157783;41,34924121;43,52676645;38,96972345;41,4532683;41,51219243;41,58928228;41,27079919;38,96949738;44,02658721;38,86518717;37,96739557;43,22420861;38,95350127;40,15409193;26,78686242;0,004;1,066;0,202;0,449;0,076;0,111;23,22005357;26,78686242;2025-04-18T13:28:31
38,28009968;44,04470653;42,90681554;38,07999701;40,61608128;45,51373996;39,33890687;41,43076116;43,6482136;39,04690989;41,56929421;41,67155635;41,71082315;41,42940794;39,07585043;44,14551745;38,93973558;38,04056423;43,34345411;39,03007055;40,23200892;26,78686242;0,004;1,064;0,2;0,446;0,077;0,11;23,42419587;26,78686242;2025-04-18T13:28:31
38,3590616;44,16483392;42,98674513;38,16093649;40,69359609;45,63620799;39,45490694;41,55302605;43,72921147;39,16268178;41,64667687;41,79111897;41,79182559;41,54841273;39,18222273;44,26457149;39,01428336;38,11373662;43,42296691;39,10665094;40,30991957;26,82774376;0,004;1,054;0,198;0,45;0,077;0,111;23,52624721;26,82774376;2025-04-18T13:28:31
38,47748441;44,40518049;43,10666789;38,24186409;40,77109683;45,75873222;39,53224507;41,63452638;43,89128802;39,23985829;41,76279969;41,87084682;41,91329275;41,66745996;39,2176846;44,34401017;39,0515571;38,18691303;43,54226052;39,22154297;40,38782416;26,82774376;0,004;1,064;0,198;0,448;0,077;0,111;23,67950455;26,82774376;2025-04-18T13:28:32
38,55642001;44,48532426;43,22662557;38,32278011;40,88732216;45,88131365;39,60958733;41,75676319;44,01291733;39,3556166;41,87898196;41,99046849;42,03471694;41,82625733;39,32408394;44,46327301;39,12610443;38,26009372;43,62180629;39,29815236;40,46572298;26,86861342;0,004;1,062;0,197;0,448;0,077;0,111;23,78171234;26,86861342;2025-04-18T13:28:32
38,63534558;44,60556739;43,30661724;38,40368485;40,96478892;46,00395332;39,68693401;41,83824569;44,1346094;39,43278491;41,99522465;42,1101269;42,115643;41,94540743;39,3950286;44,58266262;39,23792558;38,33327896;43,70136574;39,37477385;40,5436163;26,95031792;0,004;1,054;0,197;0,446;0,076;0,11;23,83291539;26,95031792;2025-04-18T13:28:32
38,75371579;44,72584435;43,38662516;38,4845786;41,04224256;46,12665224;39,8029629;41,91972155;44,25636528;39,54853225;42,11152876;42,18992008;42,19655066;42,06460327;39,46598299;44,70218012;39,31247351;38,406469;43,82073122;39,45140772;40,62150439;26,99115286;0,004;1,056;0,197;0,443;0,076;0,11;23,93531355;26,99115286;2025-04-18T13:28:33
38,83261758;44,80604827;43,50666813;38,56546165;41,15839903;46,20848495;39,88032182;42,00119106;44,37818598;39,62569413;42,22789526;42,30964192;42,31787827;42,18384584;39,53694735;44,78193007;39,38702215;38,44306591;43,90032615;39,52805423;40,69938754;27,03197633;0,004;1,054;0,198;0,443;0,076;0,111;23,98660926;27,03197633;2025-04-18T13:28:33
38,95095345;44,9263838;43,6267493;38,64633431;41,23582107;46,33128492;39,95768615;42,12338405;44,50007255;39,66427427;42,34432514;42,3894783;42,43916605;42,30313613;39,60792195;44,90166322;39,46157177;38,5528646;43,97993577;39,64304835;40,77726601;27,07278837;0,004;1,052;0,198;0,448;0,076;0,111;24,08916246;27,07278837;2025-04-18T13:28:33
39,02983325;45,04675576;43,74686964;38,72719686;41,31323095;46,45414689;40,03505615;42,20483893;44,622026;39,7800119;42,46081939;42,50926632;42,5200029;42,38268999;39,7144036;45,02152728;39,53612263;38,58946692;44,09937838;39,71972773;40,89407558;27,11358904;0,004;1,048;0,198;0,451;0,076;0,111;24,19180744;27,11358904;2025-04-18T13:28:34
39,1481375;45,12702446;43,82697212;38,80804961;41,42932354;46,57707189;40,07374337;42,28628846;44,74404739;39,85716834;42,577379;42,58914772;42,64122638;42,50206203;39,78540491;45,10150994;39,64795187;38,69928265;44,21885567;39,79642076;40,93301007;27,11358904;0,005;1,043;0,198;0,451;0,076;0,111;24,34556609;27,11358904;2025-04-18T13:28:34
39,22699711;45,24745932;43,90709275;38,88889284;41,50670419;46,70006096;40,18981431;42,40845334;44,82543323;39,89574608;42,69400495;42,66904766;42,72202124;42,62148444;39,85641736;45,22159469;39,68522919;38,77250076;44,29852693;39,8731277;41,01087621;27,15437838;0,005;1,036;0,199;0,454;0,076;0,111;24,44838422;27,15437838;2025-04-18T13:28:34
39,26642406;45,32777086;44,02730834;38,96972685;41,58407362;46,82311513;40,26720302;42,48989072;44,9882981;39,97290075;42,81069823;42,74896641;42,84318301;42,70112785;39,92744121;45,34181339;39,79706439;38,80911221;44,41806417;39,94984884;41,08873878;27,15437838;0,005;1,041;0,198;0,452;0,076;0,11;24,60230443;27,15437838;2025-04-18T13:28:35
39,38469391;45,36793322;44,1074756;39,05055194;41,7387799;46,90518793;40,38329894;42,61203871;45,06977774;40,05005458;42,96639575;42,82890427;42,96430901;42,82063643;40,03399891;45,42203418;39,90890511;38,88234004;44,4977763;40,02658446;41,16659807;27,19515645;0,005;1,038;0,199;0,458;0,076;0,11;24,65395725;27,19515645;2025-04-18T13:28:35
39,46353166;45,44827134;44,22776252;39,13136839;41,8161173;47,02835293;40,46070519;42,69346573;45,1920571;40,16578437;43,0442908;42,90886154;43,1257563;42,90033821;40,10505238;45,50231534;39,98346911;38,99219464;44,57750529;40,10333484;41,24445435;27,19515645;0,005;1,042;0,199;0,458;0,076;0,11;24,80801608;27,19515645;2025-04-18T13:28:35
39,5423627;45,5688125;44,34809356;39,21217651;41,89344455;47,11050057;40,49941112;42,77488909;45,31440924;40,24293732;43,16119207;42,98883851;43,20645739;42,98006387;40,14058371;45,58265724;40,09532106;39,02881641;44,65725141;40,18010027;41,36123372;27,23592329;0,005;1,036;0,2;0,456;0,076;0,111;24,85977655;27,23592329;2025-04-18T13:28:36
39,62118732;45,64919636;44,4684697;39,29297657;41,97076194;47,23377927;40,57682873;42,89701791;45,43683522;40,32009041;43,27816467;43,10884154;43,32748162;43,05981368;40,21165573;45,70328469;40,16989338;39,10206548;44,77690337;40,25688103;41,43908369;27,23592329;0,005;1,045;0,2;0,459;0,076;0,112;25,01397762;27,23592329;2025-04-18T13:28:36
39,70000579;45,7698075;44,54874601;39,33337368;42,00941701;47,3571276;40,65425427;43,0191401;45,51849408;40,3972439;43,3952096;43,18886905;43,44847379;43,17948436;40,28274043;45,78377991;40,2444695;39,21195344;44,85669361;40,33367739;41,5169316;27,23592329;0,005;1,044;0,199;0,463;0,077;0,112;25,16826578;27,23592329;2025-04-18T13:28:36
39,73941281;45,85023892;44,6290431;39,41416223;42,12536817;47,48054661;40,77040805;43,10055168;45,60018653;40,51297553;43,47328022;43,30894927;43,56943481;43,25929588;40,38939184;45,86433706;40,31904969;39,24858672;44,936502;40,41048964;41,59477775;27,27667895;0,005;1,039;0,2;0,462;0,076;0,112;25,27166381;27,27667895;2025-04-18T13:28:37
39,8182226;45,97092278;44,74952835;39,49494345;42,24129893;47,56286572;40,88658125;43,18196102;45,72278889;40,59013127;43,55138374;43,38902916;43,65005864;43,33913261;40,4605094;45,98528967;40,39363421;39,32185943;45,01632883;40,52573843;41,67262241;27,23592329;0,006;1,031;0,201;0,463;0,076;0,112;25,4256098;27,23592329;2025-04-18T13:28:37
39,85762544;46,0514036;44,82987869;39,57571766;42,31857522;47,64521702;40,9640413;43,30407146;45,8454686;40,70586755;43,62952045;43,46913051;43,73066931;43,41899483;40,5672113;46,10638359;40,46822334;39,35849892;45,05624925;40,60259163;41,75046584;27,27667895;0,006;1,043;0,202;0,457;0,075;0,112;25,477639;27,27667895;2025-04-18T13:28:37
